,route_id,status,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route
0,RouteScenario_0,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,187.95000280067325,1660.3507330417633,141.42135084251302,100.0,1.0,100.0
1,RouteScenario_1,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,181.2000027000904,1588.0480797290802,141.42135657448432,100.0,1.0,100.0
2,RouteScenario_2,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,181.2000027000904,1592.689439535141,141.42135657448432,100.0,1.0,100.0
3,RouteScenario_3,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,224.55000334605572,2156.2816939353947,141.42135084251302,100.0,1.0,100.0
4,RouteScenario_4,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,94.0500014014542,772.137565612793,141.42135623730948,100.0,1.0,100.0
5,RouteScenario_5,Failed - Agent timed out,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,892.0500132925807,8078.903210878371,141.42135623730948,62.746563323023814,1.0,62.746563323023814
6,RouteScenario_6,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,94.0500014014542,774.9924550056458,141.42135623730948,100.0,1.0,100.0
7,RouteScenario_7,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,178.5000026598573,1582.3747596740725,141.42135623730948,100.0,1.0,100.0
8,RouteScenario_8,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,178.5000026598573,1582.315327167511,141.42135623730948,100.0,1.0,100.0
9,RouteScenario_9,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,110.90000165253878,1106.4773752689364,141.42136163210625,100.0,1.0,100.0
10,RouteScenario_10,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,471.6000070273876,4577.016855239868,141.42135623730948,100.0,1.0,100.0
11,RouteScenario_11,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,180.70000269263986,1745.4214162826538,141.42135353991122,100.0,1.0,100.0
12,RouteScenario_12,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,320.8000047802925,3012.8801283836365,141.4213575860087,100.0,1.0,100.0
